http://dbpedia.org/ontology/Weapon,http://dbpedia.org/ontology/length
Nudelman-Rikhter NR-30,2.153
Działko NR-30,2.153
НР-30,2.153
NR-30機炮,2.153
Nudelman-Suranov NS-23,1.985
Nudelman-Suranov NS-23,1.985
Nudelman-Suranov NS-23,1.985
Noedelman-Soeranov NS-23,1.985
NS-23 (機関砲),1.985
Działko NS-23,1.985
НС-23,1.985
NS-37 (機関砲),3.4
Działko NS-37,3.4
НС-37,3.4
Nudelman-Suranov NS-37,3.4
نودلمان إن-37,2.455
Nudelman N-37,2.455
Nudelman N-37,2.455
Nudelman N-37,2.455
Nudelman N-37,2.455
N-37 (機関砲),2.455
Działko N-37,2.455
Н-37,2.455
N-37機炮,2.455
RGO (Handgranate),0.114
RGO hand grenade,0.114
RGO手榴弾,0.114
Granat RGO,0.114
РГО (граната),0.114
Walther LGR,1.12
Webley Revolver,0.26035
Webley-Revolver,0.26035
Revólver Webley,0.26035
Webley Revolver,0.26035
Webley Mk I-VI calibre .455,0.26035
ウェブリー・リボルバー,0.26035
Webley,0.26035
Револьвер Webley,0.26035
韋伯利轉輪手槍,0.26035
Webley Revolver,0.28575
Webley-Revolver,0.28575
Revólver Webley,0.28575
Webley Revolver,0.28575
Webley Mk I-VI calibre .455,0.28575
ウェブリー・リボルバー,0.28575
Webley,0.28575
Револьвер Webley,0.28575
韋伯利轉輪手槍,0.28575
Webley Fosbery,0.28
Webley–Fosbery Automatic Revolver,0.28
Revólver automático Webley-Fosbery,0.28
Webley-Fosbery,0.28
ウェブリー＝フォスベリー・オートマチック・リボルバー,0.28
Автоматический револьвер Webley-Fosbery,0.28
إيه7في,7.34
A7V,7.34
A7V,7.34
Sturmpanzerwagen A7V,7.34
A7V,7.34
A7V,7.34
A7V,7.34
A7V,7.34
A7V,7.34
A7V,7.34
A7V,7.34
A7V坦克,7.34
BT-42,5.7
BT-42,5.7
BT-42,5.7
BT-42,5.7
БТ-42,5.7
BT-42,5.7
Beretta 21A Bobcat,0.125
Beretta 950,0.12
Beretta 950 Jetfire,0.12
ベレッタM950,0.12
Pistolet Beretta 950,0.12
Beretta B 950,0.12
Beretta 950 Jetfire,0.12
Bofors 37 mm,3.04
Bofors 37-mm-PaK,3.04
Bofors 37 mm,3.04
ボフォース 37mm対戦車砲,3.04
37 mm armata przeciwpancerna Bofors,3.04
37-мм противотанковая пушка Бофорс,3.04
波佛斯37公厘戰防炮,3.04
Bouncing bomb,1.524
Rollbombe,1.524
Bomba de rebote,1.524
Bombe rebondissante,1.524
Bouncing bomb,1.524
反跳爆弾,1.524
Stuiterbom,1.524
Bomba skacząca,1.524
Прыгающая бомба,1.524
Bomba ricocheteadora,1.524
彈跳炸彈,1.524
CZ 75,0.184
CZ 75,0.184
CZ 75,0.184
CZ 75,0.184
CZ 75,0.184
Cz75,0.184
CZ 75,0.184
Pistolet CZ 75,0.184
CZ 75,0.184
CZ 75手槍,0.184
CZ 75,0.2063
CZ 75,0.2063
CZ 75,0.2063
CZ 75,0.2063
CZ 75,0.2063
Cz75,0.2063
CZ 75,0.2063
Pistolet CZ 75,0.2063
CZ 75,0.2063
CZ 75手槍,0.2063
EE-T1 Osório,9.99
EE-T1 Osório,9.99
EE-T1 Osório,9.99
EE-T1 Osório,9.99
EE-T1 Osório,9.99
オゾーリオ (戦車),9.99
EE-T1 Osório,9.99
EE-T1 Osório,9.99
Engesa EE-T1 Osório,9.99
奧索里約主力戰車,9.99
La France M16K,0.5969
La France M16K,0.5969
拉·法蘭西M16K卡賓槍,0.5969
M240 machine gun,1.26238
M240,1.26238
Ametralladora M240,1.26238
M240,1.26238
M240機関銃,1.26238
Karabin maszynowy M240,1.26238
M240,1.26238
M240,1.26238
M240通用機槍,1.26238
M252 mortar,1.27
M252,1.27
M252 81mm 迫撃砲,1.27
81 mm moździerz M252,1.27
81-мм миномёт M252,1.27
M79 grenade launcher,0.731
M79 (Granatwerfer),0.731
Escopeta lanzagranadas M79,0.731
M79 (lanciagranate),0.731
M79 (lance-grenades),0.731
M79 グレネードランチャー,0.731
Granatnik M79,0.731
M79 Grenade Launcher,0.731
M79 (гранатомёт),0.731
M79榴彈發射器,0.731
MAC-11,0.248
MAC-11,0.248
Ingram MAC-11,0.248
MAC-11,0.248
